Strategy,Mutation Rate,Sigma,Max Generations,Population Size,Offspring Size,Tournament Size,Avg_Best_Fitness,Max_Best_Fitness,Min_Best_Fitness,Std_Dev_Fitness
Basic EP,0.2,0.5,100,50,100,4,747.1516662137718,918.5940014227901,634.1223073294396,96.4343137153405
Advanced EP,0.2,0.5,100,50,100,4,697.8573255603825,859.7834730356012,605.6466023237995,77.47880310463331
Advanced ES,0.2,0.5,100,50,100,4,462.4029380212937,507.541426097567,433.37594008809225,21.897735211860816
Basic ES,0.2,0.5,100,50,100,4,454.72090881896963,477.2804013315759,424.34577951349667,14.573905385372054
(μ + λ) ES,0.2,0.5,100,50,100,4,453.18598084326277,477.2475364038995,433.70250599592265,12.597511295253762
Basic EP,0.1,0.1,50,100,200,3,140.06973258274442,224.98777908791567,79.57491442543451,39.392976574970234
Advanced EP,0.1,0.1,50,100,200,3,132.53700137039309,168.31712820623991,88.30531245379309,33.18174397330664
"(μ, λ) ES",0.2,0.5,100,50,100,4,79.14847668294772,113.47725495902058,53.943356867216416,20.45814065729746
Advanced EP,0.5,0.1,25,100,200,2,62.180374242145305,77.27223792993728,51.299815987901695,7.593307219805415
Basic EP,0.5,0.1,25,100,200,2,56.79959529854227,70.43701192787739,35.175970071983265,9.583143379538633
Advanced ES,0.1,0.1,50,100,200,3,50.09745998674937,54.38660664671008,47.265944318272496,2.002028057445393
Basic ES,0.1,0.1,50,100,200,3,49.390847644757045,52.6742304892894,46.59571456248481,1.7992145618385709
(μ + λ) ES,0.1,0.1,50,100,200,3,49.37685878201764,53.087566479052825,46.85273446715052,2.063773862113794
(μ + λ) ES,0.5,0.1,25,100,200,2,27.730292323550877,29.769672222404132,26.409107836735636,1.1070816354240887
Basic ES,0.5,0.1,25,100,200,2,27.51408240887546,30.73499477946857,25.55153830727793,1.4047871467683137
Advanced ES,0.5,0.1,25,100,200,2,26.78570958791321,28.125981467879967,25.260548379543636,0.9643773663491786
"(μ, λ) ES",0.1,0.1,50,100,200,3,15.676243616817748,17.3733046059227,14.031847087694723,1.238192143520485
"(μ, λ) ES",0.5,0.1,25,100,200,2,13.307334587342783,18.780816985479884,10.352676749241901,2.4584536590573745
Advanced EP,0.01,0.01,25,50,100,2,8.55308279852988,12.871078200410217,7.335189123308699,1.558290807506239
Basic EP,0.01,0.01,25,50,100,2,8.542908737524566,11.301352447931647,5.896022171401942,1.8760117645749443
(μ + λ) ES,0.01,0.01,25,50,100,2,5.091985162469479,5.479803515777031,4.732719102808687,0.23316962233460475
Advanced ES,0.01,0.01,25,50,100,2,5.073416195253344,5.247313589174821,4.947334184722532,0.10275421760627444
Basic ES,0.01,0.01,25,50,100,2,5.026152837464309,5.331011024541281,4.808184139874659,0.19084520052333911
"(μ, λ) ES",0.01,0.01,25,50,100,2,3.4713073372951846,3.996598225594264,3.180363158058675,0.2703686801866616
